CLIENTE,STATUS,IDADE,ESTADO,RESIDENCIA,TEMP_RESID_ANO_COMPLET,ESTADO_CIVIL,INSTRU,RENDA_TOTAL,RST
CLI_0152,bom,30,RJ,ALUG,6.0,CASADO,Não Informado,5158,sim
CLI_0153,bom,38,SC,Não Informado,26.0,DIVORCIADO,SEC,5393,sim
CLI_0154,bom,77,RJ,PROP,11.0,VIUVO,SUP,10049,sim
CLI_0155,bom,65,SC,PROP,6.0,DIVORCIADO,SUP,8539,nao
CLI_0156,bom,56,RJ,PROP,13.0,CASADO,SUP,7551,sim
CLI_0157,bom,25,RJ,PROP,1.0,CASADO,SEC,4430,sim
CLI_0158,bom,27,MG,OUTR,5.0,CASADO,SEC,5136,sim
CLI_0159,bom,60,RJ,PROP,20.0,CASADO,SUP,8565,nao
CLI_0160,bom,36,RJ,PROP,12.0,CASADO,Não Informado,6032,sim
CLI_0161,mau,30,RJ,ALUG,1.0,CASADO,SUP,4904,sim
CLI_0162,bom,25,RJ,PROP,3.0,CASADO,SEC,4663,sim
CLI_0163,mau,37,RJ,ALUG,1.0,CASADO,SUP,6828,sim
CLI_0164,bom,66,RJ,PROP,19.0,CASADO,SUP,9324,sim
CLI_0165,mau,40,SC,PROP,7.0,DIVORCIADO,Não Informado,6082,nao
CLI_0166,bom,30,RJ,PROP,1.0,CASADO,SUP,4986,sim
CLI_0167,bom,49,SC,ALUG,6.0,DIVORCIADO,Não Informado,7046,sim
CLI_0168,mau,67,RJ,PROP,19.0,CASADO,Não Informado,8234,nao
CLI_0169,bom,47,SC,PROP,17.0,CASADO,SEC,6406,sim
CLI_0170,mau,37,RJ,ALUG,1.0,CASADO,SUP,6407,sim
CLI_0171,bom,31,RJ,PROP,12.0,CASADO,SUP,6324,sim
CLI_0172,mau,40,RJ,PROP,13.0,CASADO,Não Informado,7089,sim
CLI_0173,bom,61,SC,PROP,26.0,CASADO,PRIM,8174,sim
CLI_0174,mau,25,SP,PROP,2.0,CASADO,Não Informado,5242,sim
CLI_0175,bom,62,SC,PROP,10.0,DIVORCIADO,Não Informado,8238,sim
CLI_0176,bom,63,SC,PROP,7.0,DIVORCIADO,SUP,8877,sim
CLI_0177,bom,37,RJ,OUTR,9.0,CASADO,Não Informado,6961,sim
CLI_0178,mau,53,SC,PROP,12.0,DIVORCIADO,Não Informado,8596,sim
CLI_0179,bom,34,RJ,PROP,11.0,CASADO,SEC,5127,sim
CLI_0180,mau,30,MG,PROP,29.0,CASADO,SUP,5116,sim
CLI_0181,bom,64,SP,PROP,39.0,CASADO,SUP,9583,nao
CLI_0182,bom,32,RJ,PROP,2.0,CASADO,SUP,5510,sim
CLI_0183,mau,37,RJ,PROP,12.0,CASADO,SUP,5694,sim
CLI_0184,mau,39,RJ,ALUG,9.0,CASADO,SUP,5542,sim
CLI_0185,bom,36,RJ,ALUG,5.0,CASADO,SEC,5716,sim
CLI_0186,mau,64,SC,PROP,25.0,DIVORCIADO,SUP,8620,sim
CLI_0187,bom,77,SC,PROP,17.0,DIVORCIADO,Não Informado,9394,sim
CLI_0188,bom,36,SP,Não Informado,13.0,CASADO,Não Informado,6355,sim
CLI_0189,bom,43,SC,PROP,10.0,DIVORCIADO,SEC,6432,sim
CLI_0190,mau,52,RJ,PROP,6.0,CASADO,SEC,7488,sim
CLI_0191,bom,41,MG,PROP,15.0,CASADO,Não Informado,6855,sim
CLI_0192,mau,40,SC,PROP,7.0,DIVORCIADO,Não Informado,5654,nao
CLI_0193,bom,65,SC,PROP,6.0,DIVORCIADO,SUP,8839,nao
CLI_0194,bom,58,SC,PROP,1.0,CASADO,SEC,7375,sim
CLI_0195,mau,42,RJ,PROP,8.0,CASADO,SUP,6723,sim
CLI_0196,bom,71,RJ,OUTR,1.0,VIUVO,Não Informado,9613,sim
CLI_0197,bom,56,RJ,PROP,10.0,CASADO,SUP,8138,sim
CLI_0198,mau,26,SC,PROP,11.0,DIVORCIADO,SEC,4416,sim
CLI_0199,bom,35,RJ,PROP,6.0,CASADO,SEC,5601,sim
CLI_0200,bom,54,RJ,PROP,4.0,VIUVO,Não Informado,7959,sim
CLI_0201,bom,38,SC,OUTR,35.0,DIVORCIADO,Não Informado,5961,sim
CLI_0202,bom,61,SC,ALUG,1.0,CASADO,Não Informado,7816,sim
CLI_0203,mau,53,RJ,PROP,13.0,CASADO,Não Informado,6864,sim
CLI_0204,bom,54,SC,OUTR,10.0,DIVORCIADO,Não Informado,7646,nao
CLI_0205,mau,50,RJ,PROP,12.0,CASADO,Não Informado,6695,sim
CLI_0206,mau,43,RJ,PROP,11.0,CASADO,Não Informado,6225,sim
CLI_0207,mau,37,RJ,PROP,10.0,CASADO,SUP,5787,nao
CLI_0208,bom,36,SC,PROP,4.0,DIVORCIADO,SUP,5728,nao
CLI_0209,mau,47,SC,PROP,13.0,DIVORCIADO,SUP,6675,sim
CLI_0210,bom,51,RJ,PROP,4.0,VIUVO,SUP,8198,sim
CLI_0211,bom,49,SC,ALUG,7.0,DIVORCIADO,SUP,7660,sim
CLI_0212,bom,25,RJ,PROP,25.0,CASADO,PRIM,4389,nao
CLI_0213,mau,61,MG,PROP,0.0,CASADO,SUP,8750,sim
CLI_0214,bom,41,RJ,PROP,20.0,CASADO,SEC,6993,sim
CLI_0215,mau,35,RJ,PROP,5.0,CASADO,SUP,5093,nao
CLI_0216,mau,60,RJ,ALUG,0.0,VIUVO,Não Informado,8915,sim
CLI_0217,mau,61,SC,PROP,15.0,DIVORCIADO,SUP,8348,sim
CLI_0218,bom,62,RJ,PROP,14.0,CASADO,Não Informado,8763,sim
CLI_0219,bom,49,SC,ALUG,6.0,DIVORCIADO,Não Informado,6555,sim
CLI_0220,bom,55,RJ,PROP,13.0,CASADO,Não Informado,7170,sim
CLI_0221,bom,44,RJ,PROP,1.0,CASADO,Não Informado,7011,sim
CLI_0222,mau,28,RJ,ALUG,3.0,CASADO,SUP,5115,sim
CLI_0223,bom,34,RJ,PROP,12.0,CASADO,SEC,6324,sim
CLI_0224,bom,33,MG,ALUG,6.0,CASADO,Não Informado,6200,sim
CLI_0225,bom,57,SC,PROP,15.0,CASADO,SUP,7236,sim
CLI_0226,bom,52,RJ,PROP,20.0,CASADO,Não Informado,8267,sim
CLI_0227,bom,33,RJ,PROP,8.0,CASADO,Não Informado,5649,sim
CLI_0228,bom,39,RJ,ALUG,1.0,CASADO,SUP,6228,sim
CLI_0229,bom,84,SC,PROP,7.0,CASADO,Não Informado,11022,sim
CLI_0230,bom,35,RJ,PROP,1.0,CASADO,SUP,6671,sim
CLI_0231,bom,39,RJ,PROP,10.0,CASADO,SEC,6096,sim
CLI_0232,bom,42,RJ,PROP,11.0,CASADO,SUP,5879,sim
CLI_0233,bom,61,RJ,PROP,16.0,CASADO,SUP,9051,sim
CLI_0234,bom,31,RJ,PROP,9.0,CASADO,SEC,6026,sim
CLI_0235,mau,34,RJ,PROP,21.0,CASADO,SUP,4988,sim
CLI_0236,mau,57,MG,PROP,10.0,CASADO,SUP,7462,sim
CLI_0237,mau,32,RJ,ALUG,1.0,CASADO,Não Informado,5977,sim
CLI_0238,bom,53,SC,PROP,2.0,DIVORCIADO,SUP,8385,sim
CLI_0239,mau,34,RJ,ALUG,3.0,CASADO,SEC,5656,sim
CLI_0240,bom,30,RJ,OUTR,1.0,CASADO,SEC,5500,sim
CLI_0241,bom,54,RJ,PROP,15.0,CASADO,SEC,8448,sim
CLI_0242,mau,48,RJ,PROP,8.0,VIUVO,Não Informado,7688,sim
CLI_0243,mau,58,SC,PROP,27.0,DIVORCIADO,Não Informado,8071,sim
CLI_0244,mau,40,RJ,PROP,1.0,CASADO,Não Informado,5989,sim
CLI_0245,bom,49,RJ,PROP,13.0,CASADO,Não Informado,7162,sim
CLI_0246,mau,49,SC,ALUG,12.0,DIVORCIADO,Não Informado,7638,sim
CLI_0247,mau,78,MG,PROP,15.0,CASADO,SUP,10342,sim
CLI_0248,bom,31,RJ,PROP,32.0,CASADO,SEC,5686,sim
CLI_0249,bom,32,RJ,PROP,6.0,CASADO,Não Informado,6294,sim
CLI_0250,bom,25,RJ,ALUG,1.0,CASADO,SUP,5294,sim
CLI_0251,mau,42,RJ,PROP,6.0,CASADO,SUP,6248,nao
CLI_0252,bom,57,RJ,PROP,11.0,CASADO,SUP,7789,sim
CLI_0253,bom,36,RJ,PROP,8.0,CASADO,SEC,6218,sim
CLI_0254,mau,39,RJ,PROP,6.0,CASADO,SUP,5767,sim
CLI_0255,bom,56,S.P.,PROP,4.0,DIVORCIADO,SUP,8704,nao
CLI_0256,bom,46,RJ,PROP,8.0,CASADO,Não Informado,6823,sim
CLI_0257,mau,34,RJ,PROP,2.0,CASADO,SUP,6371,sim
CLI_0258,bom,65,MG,PROP,16.0,CASADO,SUP,9284,sim
CLI_0259,bom,39,RJ,PROP,6.0,CASADO,SUP,6008,sim
CLI_0260,bom,57,SC,PROP,6.0,CASADO,Não Informado,8870,sim
CLI_0261,mau,52,SC,PROP,12.0,DIVORCIADO,SUP,6800,sim
CLI_0262,mau,37,RJ,PROP,12.0,CASADO,SUP,6539,sim
CLI_0263,bom,51,SC,PROP,22.0,DIVORCIADO,Não Informado,7111,sim
CLI_0264,bom,38,SC,PROP,3.0,CASADO,SUP,6664,sim
CLI_0265,bom,37,RJ,PROP,16.0,CASADO,SUP,5561,sim
CLI_0266,bom,28,RJ,PROP,8.0,CASADO,Não Informado,5677,sim
CLI_0267,mau,59,SC,OUTR,11.0,DIVORCIADO,SUP,8285,nao
CLI_0268,bom,28,RJ,ALUG,1.0,CASADO,SEC,4533,sim
CLI_0269,bom,50,MG,PROP,4.0,CASADO,SEC,7130,sim
CLI_0270,bom,22,RJ,PROP,13.0,CASADO,SUP,5189,sim
CLI_0271,bom,58,SC,PROP,22.0,CASADO,SUP,8619,sim
CLI_0272,bom,43,SP,PROP,4.0,CASADO,SEC,6184,sim
CLI_0273,bom,34,RJ,PROP,5.0,CASADO,Não Informado,5136,sim
CLI_0274,mau,50,SC,ALUG,1.0,DIVORCIADO,Não Informado,7310,sim
CLI_0275,bom,36,RJ,PROP,8.0,CASADO,SEC,6732,sim
CLI_0276,bom,48,SC,PROP,10.0,CASADO,PRIM,6398,nao
CLI_0277,bom,41,RJ,PROP,2.0,CASADO,Não Informado,6607,sim
CLI_0278,mau,49,SC,PROP,15.0,DIVORCIADO,Não Informado,7835,sim
CLI_0279,bom,25,RJ,PROP,25.0,CASADO,PRIM,5258,nao
CLI_0280,bom,65,MG,PROP,21.0,CASADO,SEC,8931,nao
CLI_0281,bom,50,RJ,ALUG,3.0,CASADO,SEC,7606,nao
CLI_0282,bom,53,SC,OUTR,11.0,DIVORCIADO,SUP,8492,sim
CLI_0283,mau,49,SC,PROP,15.0,DIVORCIADO,Não Informado,7201,sim
CLI_0284,bom,31,RJ,PROP,2.0,CASADO,Não Informado,5934,nao
CLI_0285,mau,46,SC,PROP,15.0,DIVORCIADO,SEC,7395,sim
CLI_0286,mau,59,SC,OUTR,11.0,DIVORCIADO,SUP,9177,nao
CLI_0287,mau,42,SP,PROP,25.0,CASADO,SUP,6298,sim
CLI_0288,bom,54,RJ,PROP,25.0,CASADO,SUP,7397,sim
CLI_0289,bom,38,SC,PROP,11.0,DIVORCIADO,SEC,6283,nao
CLI_0290,mau,48,RJ,OUTR,10.0,CASADO,PRIM,7933,sim
CLI_0291,bom,76,MG,OUTR,5.0,CASADO,Não Informado,10706,sim
CLI_0292,bom,62,SC,PROP,10.0,DIVORCIADO,Não Informado,8659,sim
CLI_0293,bom,34,RJ,PROP,5.0,CASADO,SEC,6351,sim
CLI_0294,mau,50,SC,ALUG,1.0,DIVORCIADO,Não Informado,7760,sim
CLI_0295,mau,30,RJ,PROP,2.0,CASADO,SUP,5793,sim
CLI_0296,bom,50,RJ,PROP,10.0,CASADO,Não Informado,6635,sim
CLI_0297,bom,53,SC,OUTR,11.0,DIVORCIADO,SUP,7754,sim
CLI_0298,mau,59,RJ,PROP,12.0,CASADO,SUP,8237,sim
CLI_0299,bom,36,RJ,PROP,5.0,CASADO,SEC,5659,sim
CLI_0300,bom,46,SC,PROP,15.0,CASADO,Não Informado,7542,sim
CLI_0301,bom,37,RJ,PROP,11.0,CASADO,Não Informado,6662,sim
CLI_0302,bom,56,SC,PROP,30.0,CASADO,SUP,7657,sim
CLI_0303,bom,55,RJ,PROP,4.0,CASADO,SUP,8560,sim
CLI_0304,bom,40,RJ,PROP,3.0,CASADO,SUP,6111,sim
CLI_0305,bom,57,RJ,PROP,10.0,CASADO,SUP,8813,sim
CLI_0306,bom,51,SC,PROP,12.0,DIVORCIADO,SUP,8329,sim
CLI_0307,bom,29,RJ,PROP,1.0,CASADO,SUP,5121,sim
CLI_0308,bom,54,RJ,PROP,10.0,CASADO,SUP,7996,sim
CLI_0309,bom,42,RJ,PROP,10.0,CASADO,SUP,7029,sim
CLI_0310,mau,47,SC,PROP,13.0,DIVORCIADO,SUP,6459,sim
CLI_0311,bom,34,RJ,PROP,1.0,CASADO,SUP,5932,sim
CLI_0312,mau,29,RJ,PROP,2.0,CASADO,SUP,5167,sim
CLI_0313,mau,32,MG,ALUG,3.0,CASADO,Não Informado,6413,sim
CLI_0314,mau,52,SC,PROP,12.0,DIVORCIADO,SUP,8472,sim
CLI_0315,bom,35,SC,PROP,33.0,CASADO,Não Informado,5305,sim
CLI_0316,bom,36,RJ,PROP,12.0,CASADO,SEC,5146,sim
CLI_0317,mau,38,SC,ALUG,1.0,CASADO,SUP,7054,sim
CLI_0318,bom,57,RJ,PROP,20.0,CASADO,SUP,7464,sim
CLI_0319,bom,46,RJ,ALUG,11.0,CASADO,SUP,7058,sim
CLI_0320,bom,30,RJ,PROP,1.0,CASADO,SUP,5260,sim
CLI_0321,mau,58,SC,PROP,27.0,DIVORCIADO,Não Informado,7367,sim
CLI_0322,bom,51,SC,ALUG,2.0,DIVORCIADO,SEC,7463,sim
CLI_0323,bom,26,SC,PROP,15.0,DIVORCIADO,SUP,5178,sim
CLI_0324,bom,46,SC,PROP,16.0,CASADO,SUP,6950,sim
CLI_0325,bom,28,RJ,PROP,9.0,CASADO,Não Informado,5464,sim
CLI_0326,mau,40,RJ,PROP,31.0,CASADO,Não Informado,6557,nao
CLI_0327,mau,58,RJ,PROP,12.0,CASADO,SUP,9042,sim
CLI_0328,bom,28,RJ,PROP,3.0,CASADO,SUP,5550,sim
CLI_0329,bom,43,SC,PROP,10.0,DIVORCIADO,SEC,6410,sim
CLI_0330,bom,37,RJ,PROP,14.0,CASADO,Não Informado,6098,sim
CLI_0331,bom,52,SC,PROP,3.0,DIVORCIADO,SUP,7790,sim
CLI_0332,mau,55,RJ,PROP,12.0,CASADO,SUP,7250,sim
CLI_0333,bom,49,SC,ALUG,7.0,DIVORCIADO,SUP,7348,sim
CLI_0334,mau,52,SC,PROP,9.0,CASADO,SUP,8123,sim
CLI_0335,bom,23,RJ,PROP,1.0,SOLTEIRO,SUP,3966,sim
CLI_0336,bom,32,MG,OUTR,2.0,CASADO,SEC,5632,sim
CLI_0337,mau,52,RJ,OUTR,4.0,CASADO,PRIM,7344,sim
CLI_0338,mau,40,RJ,PROP,31.0,CASADO,Não Informado,5935,sim
CLI_0339,bom,61,RJ,PROP,6.0,CASADO,SEC,9142,sim
CLI_0340,mau,35,RJ,PROP,3.0,CASADO,SUP,5462,sim
CLI_0341,bom,27,SC,PROP,13.0,CASADO,Não Informado,5944,sim
CLI_0342,bom,38,SC,PROP,11.0,DIVORCIADO,SEC,5423,sim
CLI_0343,mau,46,SC,PROP,15.0,DIVORCIADO,SEC,7484,sim
